BOOKS,AUTHOR,PUBLISHERS,YEAR
"The Surgeon of Crowthorne : A Tale of Murder, Madness and the Love of Words",Simon Winchester,1946
Ella Enchanted,Gail Carson Levine,Summit Media,1917
The Sandman: Preludes and Nocturnes,Neil Gaiman,SUNY Press,1993
World Without End,Ken Follett,Sylvan Dell Publishing,1991
The Last Olympian,Rick Riordan,T & T Clark,1931
Marley & Me,John Grogan,Tachyon Publications,1946
The Pearl,John Steinbeck,"Tammi,2006
Murder on the Orient Express,Agatha Christie,Target Books,1953
Little House on the Prairie,Laura Ingalls Wilder,Tarpaulin Sky Press,1972
The English Patient,Michael Ondaatje,Tartarus Press,1923
Going Postal,Terry Pratchett,Tate Publishing & Enterprises,1933
Tuck Everlasting,Natalie Babbitt,Taunton Press,1900
Starship Troopers,Robert A. Heinlein,Taylor & Francis,1918
The Satanic Verses,Salman Rushdie,Ten Speed Press,1992
The Dragon Reborn,Robert Jordan,Thames & Hudson (UK),2003
Saturday,Ian McEwan,Thames & Hudson USA,2010
1776,David McCullough,Thieme Medical Publishers,1942
Nickel and Dimed,Barbara Ehrenreich,Third World Press,1976
The Silence Of The Lambs,Thomas Harris,Thomas Nelson,1910
Metamorphoses,Ovid,Ticonderoga Publications,1991
The Elegance of the Hedgehog,Muriel Barbery,Time Inc.,1912
Wolf Hall,Hilary Mantel,Times Books,2011
The Bluest Eye,Toni Morrison,Titan Books,1985
A Wind in the Door,Madeleine L'Engle,Top Shelf Productions,1981
Naked Lunch,William S. Burroughs,Tor Books,2011
Second Foundation,Isaac Asimov,Triangle Books,1912
Confessions of a Shopaholic,Sophie Kinsella,Troubador Press,1975
Journey to the Center of the Earth,Jules Verne,Tupelo Press,1958
Getting Things Done: The Art of Stress-Free Productivity,David Allen,Tuttle Publishing,1958
Nineteen Minutes,Jodi Picoult,Twelveheads Press,1956
Night Watch,Terry Pratchett,Two Dollar Radio,1952
The Man in the High Castle,Philip K. Dick,UCL Press,1994
Cell,Stephen King,United States Government Publishing Office,1925
The Adventures of Sherlock Holmes,Sir Arthur Conan Doyle,Universal Publishers (United States),1973
Reaper Man,Terry Pratchett,University of Akron Press,1966
Complete Stories and Poems of Edgar Allan Poe,Edgar Allan Poe,University of Alaska Press,1928
Alias Grace,Margaret Atwood,University of British Columbia Press,1967
Disgrace,J. M. Coetzee,University of California Press,1930
Paradise Lost,John Milton,University of Chicago Press,1953
I Know This Much is True,Wally Lamb,University of Michigan Press,1925
About a Boy,Nick Hornby,University of Minnesota Press,1957
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,1963
The Complete Fairy Tales of the Brothers Grimm,Jacob Grimm,University of Pennsylvania Press,2016
The Crying of Lot 49,Thomas Pynchon,University of South Carolina Press,1901
A Swiftly Tilting Planet,Madeleine L'Engle,University of Toronto Press,2000
Ivanhoe,Sir Walter Scott,University of Wales Press,1951
Paper Towns,John Green,University Press of America,1963
Hogfather,Terry Pratchett,University Press of Kansas,1968
Club Dead,Charlaine Harris,University Press of Kentucky,1978
The Immortal Life of Henrietta Lacks,Rebecca Skloot,Usborne Publishing,1974
The Pelican Brief,John Grisham,Valancourt Books,1976
Sarah's Key,Tatiana de Rosnay,Velazquez Press,2015
Notes from Underground,Fyodor Dostoevsky,Verso Books,1946
The Green Mile,Stephen King,Victor Gollancz Ltd,1974
The Sisterhood of the Traveling Pants,Ann Brashares,Viking Press,1959
"The Tale of Despereaux: Being the Story of a Mouse, a Princess, Some Soup and a Spool of Thread",1974
Wolves Of The Calla,Stephen King,Vintage Books at Random House (UK),1913
Death of a Salesman,Arthur Miller,Virago Press,2009
Where the Red Fern Grows,Wilson Rawls,Virgin Publishing,2015
Jonathan Livingston Seagull,Richard Bach,Voyager Books,1978
The Shadow Rising,Robert Jordan,W. H. Allen Ltd,1979
A Million Little Pieces,James Frey,W. W. Norton & Company,1936
The Arctic Incident,Eoin Colfer,Walter de Gruyter,1988
Pyramids,Terry Pratchett,Ward Lock & Co,1962
A Canticle for Leibowitz,Walter M. Miller Jr.,WBusiness Books,1995
Sourcery,Terry Pratchett,Weidenfeld & Nicolson,1977
The Wide Window,Lemony Snicket,Wesleyan University Press,2000
Because of Winn-Dixie,Kate DiCamillo,WestBow Press,1954
Voyager,Diana Gabaldon,Westminster John Knox Press,1931
A Room of One's Own,Virginia Woolf,Wildside Press,1982
The Last of the Mohicans,James Fenimore Cooper,William Edwin Rudge,1983
Smoke and Mirrors,Neil Gaiman,Windgate Press,1942
Stranger in a Strange Land,Robert A. Heinlein,Wipf and Stock,1927
The Yiddish Policemen's Union,Michael Chabon,Wisdom Publications,1991
White Noise,Don DeLillo,Witherby Seamanship,1982
Man's Search for Meaning,Viktor E. Frankl,Woodhead Publishing,1995
Winnie-the-Pooh,A. A. Milne,Wordfarm,1992
If You Give a Mouse a Cookie,Laura Joffe Numeroff,Workman Publishing,1988
Gravity's Rainbow,Thomas Pynchon,World Publishing Company,2011
Utopia,Thomas More,World Scientific Publishing,1952
A Room with a View,E. M. Forster,Wrecking Ball Press,1971
"Alexander and the Terrible, Horrible, No Good,1973
The Epic of Gilgamesh,Anonymous,"WSOY,1942
The Jungle,Upton Sinclair,Jaico Publishing House,1996
The Portrait of a Lady,Henry James,Jarrolds Publishing,1973
The Hunt for Red October,Tom Clancy,John Lane,1903
A Great and Terrible Beauty,Libba Bray,John Murray,1931
No Country for Old Men,Cormac McCarthy,John Wiley & Sons (Wiley),1942
Dead To The World,Charlaine Harris,Jones and Bartlett Learning,1914
The Bean Trees,Barbara Kingsolver,Wiley,1994
Julius Caesar,William Shakespeare,Karadi Tales,1979
The Client,John Grisham,Kensington Books,1956
The Selfish Gene,Richard Dawkins,Kessinger Publishing,1968
City of Ashes,Cassandra Clare,Kluwer Academic Publishers,1975
Stuart Little,E. B. White,Kodansha,1930
"One fish, two fish, red fish,1997
The Phantom of the Opera,Gaston Leroux,Koren Publishers Jerusalem,1932
Thud!,Terry Pratchett,KTAV Publishing House,1939
The Neverending Story,Michael Ende,Kumarian Press,1985
Anthem,Ayn Rand,Perseus Books Group,1969
Assassin's Apprentice,Robin Hobb,Peter Lang,1949
The Fires of Heaven,Robert Jordan,Peter Owen Publishers,1930
Suite Française,Irène Némirovsky,Phaidon Press,2012
Harry Potter Box Set(Books 1-7),J. K. Rowling,Philosophy Documentation Center,1991
Lost in a Good Book,Jasper Fforde,Philtrum Press,1971
Bag of Bones,Stephen King,Picador UK,1984
Fantastic Beasts and Where to Find Them,J. K. Rowling,Pimlico Books at Random House,1935
Stiff: The Curious Lives of Human Cadavers,Mary Roach,Playwrights Canada Press,2005
Wizard's First Rule,Terry Goodkind,Pluto Press,1982
Gilead,Marilynne Robinson,Point Blank,1926
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Oliver Sacks,Poisoned Pen Press,1966
The Velveteen Rabbit,Margery Williams,Policy Press,1931
Insurgent,Veronica Roth,Polity,1927
Pride and Prejudice and Zombies,Seth Grahame-Smith,Practical Action,1935
How to Win Friends and Influence People,Dale Carnegie,Prentice Hall,1904
The Wee Free Men,Terry Pratchett,Prime Books,1925
The Heart Is a Lonely Hunter,Carson McCullers,Princeton University Press,1988
The Maze Runner,James Dashner,Profile Books,1918
Men at Arms,Terry Pratchett,Progress Publishers,1996
Song Of Susannah,Stephen King,Prometheus Books,1925
Diary of a Wimpy Kid,Jeff Kinney,Puffin Books,1937
A Light in the Attic,Shel Silverstein,Que Publishing,1928
The Dark Tower,Stephen King,Quebecor,1907
The Godfather,Mario Puzo,Quirk Books,1986
Lord of Chaos,Robert Jordan,Random House,1956
Under The Dome,Stephen King,Reed Elsevier,1946
Notes from a Small Island,Bill Bryson,Reed Publishing - previously A.H. & A.W. Reed,1988
Soul Music,Terry Pratchett,Remington & Co,1995
The Rainmaker,John Grisham,Riverhead Books,2015
The Eternity Code,Eoin Colfer,Robert Hale Publishing,2015
The Complete Sherlock Holmes,Arthur Conan Doyle,Robson Books,1940
People of the Book,Geraldine Brooks,Rock Scorpion Books,1933
A Connecticut Yankee in King Arthur's Court,Mark Twain,Rodopi,1944
The Testament,John Grisham,Routledge Kegan Paul,1944
The Sirens of Titan,"Kurt Vonnegut, Jr.",1941
The Runaway Jury,John Grisham,Royal Society of Chemistry,1928
Doctor Zhivago,Boris Pasternak,Russell Square Publishing,1949
All the Pretty Horses,Cormac McCarthy,SAGE Publications,1985
The New York Trilogy,Paul Auster,St. Martin's Press,1903
Sabriel,Garth Nix,Salt Publishing,1979
Silas Marner,George Eliot,Sams Publishing,2004
The Moon is a Harsh Mistress,Robert A. Heinlein,Samuel French theater/script publishers,1995
V for Vendetta,Alan Moore,Schocken Books,1968
The Fifth Elephant,Terry Pratchett,Scholastic Press,1952
Far from the Madding Crowd,Thomas Hardy,Scribner (UK),1964
On Beauty,Zadie Smith,Seagull Books,2003
Something Wicked This Way Comes,Ray Bradbury,Secker & Warburg,1948
Thief of Time,Terry Pratchett,Serif,1938
Heidi,Johanna Spyri,Shambhala Publications,1907
God Emperor of Dune,Frank Herbert,Shire Books,1908
Feet of Clay,Terry Pratchett,Shoemaker & Hoard Publishers,1916
The History of Love: A Novel,Nicole Krauss,Shuter & Shooter Publishers,1931
"Oh, the Places You'll Go!",Dr. Seuss,2006
Hard Times,Charles Dickens,Signet Books,2005
A Long Way Down,Nick Hornby,Simon & Schuster,1927
The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,Sinclair-Stevenson Ltd,1967
Dead As A Doornail,Charlaine Harris,Sounds True,1926
Witches Abroad,Terry Pratchett,Sourcebooks,1938
Drums of Autumn,Diana Gabaldon,South End Press,1956
Prey,Michael Crichton,SPCK,1992
Jude the Obscure,Thomas Hardy,Spinsters Ink,2014
Blood Meridian or the Evening Redness in the West,Cormac McCarthy,Springer Science ,1922
Quicksilver,Neal Stephenson,Stanford University Press,1984
Insomnia,Stephen King,The Stationery Office,1973
The Merchant of Venice,William Shakespeare,Stein and Day,2009
The Moonstone,Wilkie Collins,Summerwild Productions,1927
Needful Things,Stephen King,Summit Media,1990
Anne of Avonlea,L. M. Montgomery,SUNY Press,1981
Hyperion,Dan Simmons,Sylvan Dell Publishing,1924
A Crown of Swords,Robert Jordan,T & T Clark,1942
Redwall,Brian Jacques,Tachyon Publications,1933
The Eyes of the Dragon,Stephen King,"Tammi,2009
Prodigal Summer,Barbara Kingsolver,Target Books,1942
Swann's Way,Marcel Proust,Tarpaulin Sky Press,1926
The Histories,Herodotus,Tartarus Press,1976
Survivor,Chuck Palahniuk,Tate Publishing & Enterprises,1983
The Bourne Identity,Robert Ludlum,Taunton Press,1919
Song of Solomon,Toni Morrison,Taylor & Francis,1931
The Importance of Being Earnest,Oscar Wilde,Ten Speed Press,2012
Pattern Recognition,William Gibson,Thames & Hudson (UK),1951
Inkspell,Cornelia Funke,Thames & Hudson USA,1951
Leaves of Grass,Walt Whitman,Thieme Medical Publishers,2005
The Witching Hour,Anne Rice,Third World Press,1945
Lords and Ladies,Terry Pratchett,Thomas Nelson,1969
The Miserable Mill,Lemony Snicket,Ticonderoga Publications,1980
Fragile Things: Short Fictions and Wonders,Neil Gaiman,Time Inc.,1929
The White Tiger,Aravind Adiga,Times Books,2005
The Great Divorce,C. S. Lewis,Titan Books,1905
Fool Moon,Jim Butcher,Top Shelf Productions,1975
The Ocean at the End of the Lane,Neil Gaiman,Tor Books,1975
Corduroy,Don Freeman,Triangle Books,1929
Definitely Dead,Charlaine Harris,Troubador Press,1916
Sphere,Michael Crichton,Tupelo Press,2012
Hard-Boiled Wonderland and the End of the World,Haruki Murakami,Tuttle Publishing,1947
Empire Falls,Richard Russo,Twelveheads Press,1967
The Lost World,Michael Crichton,Two Dollar Radio,1926
Moving Pictures,Terry Pratchett,UCL Press,1974
Perdido Street Station,China Miéville,United States Government Publishing Office,2013
Bridget Jones: The Edge of Reason,Helen Fielding,Universal Publishers (United States),1971
A Walk to Remember,Nicholas Sparks,University of Akron Press,1957
Quidditch Through the Ages,J. K. Rowling,University of Alaska Press,1911
Out of the Silent Planet,C. S. Lewis,University of British Columbia Press,1947
The Year of Magical Thinking,Joan Didion,University of California Press,1972
A Fine Balance,Rohinton Mistry,University of Chicago Press,1955
Ringworld,Larry Niven,University of Michigan Press,1940
The Westing Game,Ellen Raskin,University of Minnesota Press,1998
The Talisman,Stephen King,University of Nebraska Press,2015
Sons and Lovers,D. H. Lawrence,University of Pennsylvania Press,1910
When You Are Engulfed in Flames,David Sedaris,University of South Carolina Press,1944
Cat's Eye,Margaret Atwood,University of Toronto Press,1983
11/22/1963,Stephen King,University of Wales Press,2017
The Andromeda Strain,Michael Crichton,University Press of America,1938
Thirteen Reasons Why,Jay Asher,University Press of Kansas,1995
"Brown Bear, Brown Bear, What Do You See?",1908
In a Sunburned Country,Bill Bryson,Usborne Publishing,2005
Maus I: A Survivor's Tale: My Father Bleeds History,Art Spiegelman,Valancourt Books,1993
Orlando,Virginia Woolf,Velazquez Press,1915
The Path of Daggers,Robert Jordan,Verso Books,2001
Jingo,Terry Pratchett,Victor Gollancz Ltd,1962
The Partner,John Grisham,Viking Press,2019
The Invention of Hugo Cabret,Brian Selznick,Vintage Books (US),2015
Monstrous Regiment,Terry Pratchett,Vintage Books at Random House (UK),1992
Lullaby,Chuck Palahniuk,Virago Press,1962
Howl's Moving Castle,Diana Wynne Jones,Virgin Publishing,1953
Freedom,Jonathan Franzen,Voyager Books,1935
White Fang,Jack London,W. H. Allen Ltd,1934
The Big Sleep,Raymond Chandler,W. W. Norton & Company,1983
Hannibal,Thomas Harris,Walter de Gruyter,1977
A Widow for One Year,John Irving,Ward Lock & Co,1955
Foundation's Edge,Isaac Asimov,WBusiness Books,2018
Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,Weidenfeld & Nicolson,1929
Guilty Pleasures,Laurell K. Hamilton,Wesleyan University Press,1923
Carpe Jugulum,Terry Pratchett,WestBow Press,2015
The Girl On The Train,Paul A. Hawkins,Westminster John Knox Press,2011
Cannery Row,John Steinbeck,Wildside Press,1909
The Martian,Andy Weir,William Edwin Rudge,1915
City of Glass,Cassandra Clare,Windgate Press,2004
The Nanny Diaries,Emma McLaughlin,Wipf and Stock,1956
The Audacity of Hope: Thoughts on Reclaiming the American Dream,Barack Obama,Wisdom Publications,1975
The City of Ember,Jeanne DuPrau,Witherby Seamanship,1931
The Children of Húrin,J. R. R. Tolkien,Woodhead Publishing,1930
Breakfast at Tiffany's: A Short Novel and Three Stories,Truman Capote,Wordfarm,1944
Cutting for Stone,Abraham Verghese,Workman Publishing,1912
An Abundance of Katherines,John Green,World Publishing Company,1990
The House of Mirth,Edith Wharton,World Scientific Publishing,2006
Nausea,Jean-Paul Sartre,Wrecking Ball Press,2018
Stargirl,Jerry Spinelli,Wrox Press,1976
Maskerade,Terry Pratchett,"WSOY,2002
The Snowy Day,Ezra Jack Keats,Jaico Publishing House,1979
Twelfth Night,William Shakespeare,Jarrolds Publishing,1959
"Surely you're joking, Mr. Feynman! : adventures of a curious character",Richard Feynman,2007
Bird by Bird: Some Instructions on Writing and Life,Anne Lamott,Houghton Mifflin,1908
Red Dragon,Thomas Harris,House of Anansi Press,1994
Chicka Chicka Boom Boom,Bill Jr. Martin,The House of Murky Depths (UK),1968
The Austere Academy,Lemony Snicket,Howell-North Books,2008
Stranger in a Strange Land (Uncut Edition),Robert A. Heinlein,Huffington Post,1995
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",1953
Ethan Frome,Edith Wharton,Hutchinson,1997
The Goldfinch,Donna Tartt,Hyperion,1942
Graceling,Kristin Cashore,Balbharati,1904
The Story of Edgar Sawtelle,David Wroblewski,Ian Allan Publishing,1984
Childhood's End,Arthur C. Clarke,IGI Global[1],1996
The Street Lawyer,John Grisham,Ignatius Press,1955
The Dead Zone,Stephen King,Imperial War Museum,1959
A Painted House,John Grisham,Riverhead Books,2002
The Pact,Jodi Picoult,Robert Hale Publishing,2003
The Bonfire of the Vanities,Tom Wolfe,Robson Books,1993
The Red Badge of Courage,Stephen Crane,Rock Scorpion Books,2019
Winter's Heart,Robert Jordan,Rodopi,1993
Persepolis: The Story of a Childhood,Marjane Satrapi,Routledge Kegan Paul,1994
The Well of Lost Plots,Jasper Fforde,Rowman & Littlefield,1922
The Name of the Rose / Postscript to The Name of the Rose,Umberto Eco,Royal Society of Chemistry,2009
Pretties,Scott Westerfeld,Russell Square Publishing,1923
Confessions of an Ugly Stepsister,Gregory Maguire,SAGE Publications,1960
The Tale of the Body Thief,Anne Rice,St. Martin's Press,1983
On Chesil Beach,Ian McEwan,Salt Publishing,1927
Marked,P. C. Cast,Sams Publishing,1931
Rendezvous With Rama,Arthur C. Clarke,Samuel French theater/script publishers,1978
Ready Player One,Ernest Cline,Schocken Books,2005
All Together Dead,Charlaine Harris,Scholastic Press,1925
Dreams from My Father: A Story of Race and Inheritance,Barack Obama,Scribner (UK),1912
Orestia,Aeschylus,Seagull Books,2002
The Invisible Man,H. G. Wells,Secker & Warburg,1974
Children of the Mind,Orson Scott Card,Serif,1910
The Rule of Four,Ian Caldwell,Shambhala Publications,1900
The Broker,John Grisham,Shire Books,1969
Everything's Eventual,Stephen King,Shoemaker & Hoard Publishers,2000
Two for the Dough,Janet Evanovich,Shuter & Shooter Publishers,1948
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",1950
The Awakening,Kate Chopin,Signet Books,1931
Flatland: A Romance of Many Dimensions,Edwin A. Abbott,Simon & Schuster,1901
The Fiery Cross,Diana Gabaldon,Sinclair-Stevenson Ltd,1900
Much Ado About Nothing,William Shakespeare,Sounds True,1900
Light in August,William Faulkner,Sourcebooks,1988
Desperation,Stephen King,South End Press,1922
The Brethren,John Grisham,SPCK,1940
How to Be Good,Nick Hornby,Spinsters Ink,1971
Invisible Monsters,Chuck Palahniuk,Springer Science ,1969
The Metamorphosis,Franz Kafka,Stanford University Press,1970
I Capture the Castle,Dodie Smith,The Stationery Office,1992
Year of Wonders,Geraldine Brooks,Stein and Day,2005
The Alienist,Caleb Carr,Summerwild Productions,1976
The Plot Against America,Philip Roth,Summit Media,1953
Unfinished Tales of Númenor and Middle-earth,J. R. R. Tolkien,SUNY Press,1964
The Last Lecture,Randy Pausch,Sylvan Dell Publishing,1970
The Witch of Blackbird Pond,Elizabeth George Speare,T & T Clark,1966
The Tale of Peter Rabbit,Beatrix Potter,Tachyon Publications,1996
Cujo,Stephen King,"Tammi,2019
"Cry, the Beloved Country",Alan Paton,1962
Fifty Shades of Grey,E. L. James,Tarpaulin Sky Press,1994
Daughter of Fortune,Isabel Allende,Tartarus Press,2019
The Art of Racing in the Rain,Garth Stein,Tate Publishing & Enterprises,2012
Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,Taunton Press,1961
Olive Kitteridge,Elizabeth Strout,Taylor & Francis,1932
Master and Commander,Patrick O'Brian,Ten Speed Press,1914
All the Light We Cannot See,Anthony Doerr,Thames & Hudson (UK),1974
The Ersatz Elevator,Lemony Snicket,Thames & Hudson USA,1919
Dreamcatcher,Stephen King,Thieme Medical Publishers,1977
The Decameron,Giovanni Boccaccio,Third World Press,1962
The Opal Deception,Eoin Colfer,SAGE Publications,1963
Memnoch the Devil,Anne Rice,St. Martin's Press,1983
"I, Claudius",Robert Graves,1980
Kidnapped,Robert Louis Stevenson,Sams Publishing,1940
Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,Samuel French theater/script publishers,1993
Firestarter,Stephen King,Schocken Books,1990
A Moveable Feast,Ernest Hemingway,Scholastic Press,1923
This Side of Paradise,F. Scott Fitzgerald,Scribner (UK),1963
State of Fear,Michael Crichton,Seagull Books,1942
Dragonflight,Anne McCaffrey,Secker & Warburg,1987
Tropic of Cancer,Henry Miller,Serif,2005
The Amulet of Samarkand,Jonathan Stroud,Shambhala Publications,1931
The Red and the Black,Stendhal,Shire Books,1968
Odd Thomas,Dean Koontz,Shoemaker & Hoard Publishers,1942
The Last Continent,Terry Pratchett,Shuter & Shooter Publishers,1997
Son of a Witch,Gregory Maguire,Sidgwick & Jackson,1967
Meditations,Marcus Aurelius,Signet Books,1946
Eric,Terry Pratchett,Simon & Schuster,1992
The Dispossessed,Ursula K. Le Guin,Sinclair-Stevenson Ltd,1992
The House on Mango Street,Sandra Cisneros,Sounds True,1933
The Girl Who Loved Tom Gordon,Stephen King,Sourcebooks,1942
The Forever War,Joe Haldeman,A. C. McClurg,1995
The Tommyknockers,Stephen King,A. S. Barnes,1910
Crossroads of Twilight,Robert Jordan,Abilene Christian University Press,1977
The Magic Mountain,Thomas Mann,Ablex Publishing,1945
The Pilot's Wife,Anita Shreve,Academic Press,1924
Go Ask Alice,Beatrice Sparks,Ace Books,1996
Nicomachean Ethics,Aristotle,Addison Wesley,1994
The Chamber,John Grisham,Adis International,1994
Anne of the Island,L. M. Montgomery,Airiti Press,1902
America (The Book): A Citizen's Guide to Democracy Inaction,Jon Stewart,Akashic Books,1990
The Thief Lord,Cornelia Funke,Aladdin Paperbacks,1916
From Dead To Worse,Charlaine Harris,Alfred A. Knopf,1962
Beyond Good and Evil: Prelude to a Philosophy of the Future,Friedrich Nietzsche,Allen & Unwin,1936
The Maltese Falcon,Dashiell Hammett,Allison and Busby,1948
"Roll of Thunder, Hear My Cry",Mildred D. Taylor,1952
Lord Jim,Joseph Conrad,American Graphics Institute,1971
The Truth,Terry Pratchett,André Deutsch,1993
Chronicle of a Death Foretold,Gabriel Garcia Marquez,Andrews McMeel Publishing,1905
Different Seasons,Stephen King,Anova Books ,1905
The Valley of Horses,Jean M. Auel,Anvil Press Poetry,1965
The Tao of Pooh,Benjamin Hoff,Applewood Books,1978
The Sandman: The Doll's House,Neil Gaiman,Apress,1923
Howards End,E. M. Forster,Arbor House,1981
Mrs. Frisby and the Rats of NIMH,Robert C. O'Brien,Arbordale Publishing,1998
Interesting Times,Terry Pratchett,Arcade Publishing,1957
The Bhagavad Gita,Barbara Stoler Miller,Arcadia Publishing,1905
Dead Souls,Nikolai Gogol,Arkham House,1943
Grave Peril,Jim Butcher,Armida Publications,1991
Captain Corelli's Mandolin,Louis De Bernières,ArtScroll,1934
The True Story of the Three Little Pigs,Jon Scieszka,Athabasca University Press,2005
Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time,Dava Sobel,Atheneum Books,1909
"Tis, a Memoir",Frank McCourt,1917
The Passage,Justin Cronin,Atlantic Books,1960
Holidays on Ice: Stories,David Sedaris,Atlas Press,1991
Little Bee: A Novel,Chris Cleave,ATOM Books,1917
Wild Swans: Three Daughters of China,Jung Chang,Atria Publishing Group,2013
"A Child Called ""It""",Dave Pelzer,Augsburg Fortress,2019
Invisible Cities,Italo Calvino,Aunt Lute Books,1970
Making Money,Terry Pratchett,Austin Macauley Publishers,1945
The Killer Angels,Michael Shaara,Avon Publications,1946
Tales of a Fourth Grade Nothing,Judy Blume,Arihant Publishers,1941
The Bonesetter's Daughter,Amy Tan,B & W Publishing,1919
Contact,Carl Sagan,Baen Books,1936
Of Human Bondage,W. Somerset Maugham,Baker Book House,1925
A Breath of Snow and Ashes,Diana Gabaldon,Ballantine Books,1918
Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,Banner of Truth Trust,1908
Night Shift,Stephen King,Bantam Books,1934
The Tombs of Atuan,Ursula K. Le Guin,Bantam Spectra,1940
The Federalist Papers,Alexander Hamilton,Barrie & Jenkins,1912
Charlie and the Great Glass Elevator,Roald Dahl,Basic Books,1934
Dr. Seuss's ABC: An Amazing Alphabet Book!,Dr. Seuss,BBC Books,1926
Are You My Mother?,P. D. Eastman,Beacon Publishing,1926
Shogun: A Novel of Japan,James Clavell,Belknap Press,1900
Chocolat,Joanne Harris,Bella Books,2019
The Hotel New Hampshire,John Irving,Bellevue Literary Press,1949
"Animal, Vegetable, Miracle: A Year of Food Life",1959
On the Banks of Plum Creek,Laura Ingalls Wilder,Berkley Books,1961
"Sarah, Plain and Tall",Patricia MacLachlan,1921
The Last Juror,John Grisham,Black Dog Publishing,2007
Underworld,Don DeLillo,Black Library,1951
The Angel's Game,Carlos Ruiz Zafón,Black Sparrow Books,1936
The Vile Village,Lemony Snicket,Blackie and Son Limited,1915
In the Woods,Tana French,Blackstaff Press,2008
Villette,Charlotte Brontë,Blackwell Publishing,1961
Case Histories: A Novel,Kate Atkinson,Blake Publishing,1943
The Mill on the Floss,George Eliot,Bloodaxe Books,1937
The Pickwick Papers,Charles Dickens,Bloomsbury Publishing Plc,1913
Christine,Stephen King,Blue Ribbon Books,1914
The Dark Is Rising,Susan Cooper,Bobbs-Merrill Company,1990
Three to Get Deadly,Janet Evanovich,Bogle-L'Ouverture Publications,1942
The Hero with a Thousand Faces,Joseph Campbell,Book League of America,1987
God Is Not Great : How Religion Poisons Everything,Christopher Hitchens,Book Works,1922
The Imitation of Christ,Thomas à Kempis,Booktrope,2014
The Summons,John Grisham,Borgo Press,1984
The Mammoth Hunters,Jean M. Auel,Boundless,1986
Walk Two Moons,Sharon Creech,Bowes & Bowes,1960
The Hostile Hospital,Lemony Snicket,Boydell & Brewer,1972
The King of Torts,John Grisham,Broadside Lotus Press,1975
Holy Bible: King James Version,American Bible Society,Breslov Research Institute,1961
The Mayor of Casterbridge,Thomas Hardy,Brill Publishers,1949
Bossypants,Tina Fey,Brimstone Press,1919
Haunted,Chuck Palahniuk,Broadview Press,2012
The Twits,Roald Dahl,Burns & Oates,1930
The Magicians,Lev Grossman,Butterworth-Heinemann,1917
The Autobiography of Malcolm X,Malcolm X,ABP Group,1938
Baudolino,Umberto Eco,Caister Academic Press UK,1956
Tom Jones,Henry Fielding,Cambridge University Press UK,1959
The Illustrated Man,Ray Bradbury,Candlewick Press,1966
Congo,Michael Crichton,Candy Jar Books,2011
Dead and Gone,Charlaine Harris,Canongate Books,1982
The Dante Club,Matthew Pearl,"Carcanet Press,1934
Trainspotting,Irvine Welsh,Carlton Books UK,1950
My Side of the Mountain,Jean Craighead George,Carlton Publishing Group UK,1942
Four to Score,Janet Evanovich,Carnegie Mellon University Press,1965
Perelandra,C. S. Lewis,Casemate Publishers,1904
Something Rotten,Jasper Fforde,Cassava Republic Press,2012
Fathers and Sons,Ivan Turgenev,Cassell,1969
A Hat Full of Sky,Terry Pratchett,Cengage Learning,1967
Miss Smilla's Feeling for Snow,Peter Høeg,Central European University Press,1938
A Wild Sheep Chase,Haruki Murakami,Century,1997
Anathem,Neal Stephenson,Chambers Harrap,1921
The Angel Experiment,James Patterson,Charles Scribner's Sons,1931
Rosencrantz and Guildenstern Are Dead,Tom Stoppard,Chatto and Windus,1971
Nightmares & Dreamscapes,Stephen King,Chick Publications,1960
Amsterdam,Ian McEwan,Chronicle Books,1907
Hearts In Atlantis,Stephen King,Churchill Livingstone,1948
The Robber Bride,Margaret Atwood,Cisco Press,1922
The Slippery Slope,Lemony Snicket,City Lights Publishers,1934
The House of the Seven Gables,Nathaniel Hawthorne,Cloverdale Corporation,1938
The Dark Half,Stephen King,Cold Spring Harbor Laboratory Press,1991
The Carnivorous Carnival,Lemony Snicket,Collector's Guide Publishing,1939
The Trumpet of the Swan,E. B. White,Collins,2012
Wintersmith,Terry Pratchett,Columbia University Press,1910
Who Moved My Cheese?,Spencer Johnson,Concordia Publishing House,1924
1st To Die,James Patterson,Constable & Co Ltd,1908
Love You Forever,Robert Munsch,Continuum International Publishing Group,2017
Diary,Chuck Palahniuk,Copper Canyon Press,2013
Gathering Blue,Lois Lowry,Cork University Press,1962
Maniac Magee,Jerry Spinelli,Cornell University Press,1959
Galápagos,"Kurt Vonnegut, Jr.",1977
High Five,Janet Evanovich,Craftsman Book Company,1996
We Need To Talk About Kevin,Lionel Shriver,CRC Press,1942
